city,lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
faya,18.39,42.45,68,52,24,1.9,SA,1599868867
umzimvubu,,,,,,,,
cape town,-33.93,18.42,55.4,82,94,3.36,ZA,1599868836
thabazimbi,-24.59,27.41,50,59,0,4.18,ZA,1599868867
vanimo,-2.67,141.3,85.8,61,26,6.62,PG,1599868867
longyearbyen,78.22,15.64,39.2,86,75,3.2,SJ,1599868586
brownsville,25.9,-97.5,80.6,74,40,11.41,US,1599868868
hermanus,-34.42,19.23,60.01,87,98,8.01,ZA,1599868868
saint-vallier,46.64,4.37,57,82,53,2.24,FR,1599868869
vila do maio,15.13,-23.22,78.8,88,75,10.29,CV,1599868869
chokurdakh,70.63,147.92,52.66,54,0,6.15,RU,1599868869
potosi,-19.58,-65.75,49.41,53,67,4.03,BO,1599868870
tarakan,3.3,117.63,78.67,81,94,7.11,ID,1599868871
san borja,-14.82,-66.85,85.37,39,7,3.62,BO,1599868871
soyo,-6.13,12.37,73.36,87,54,7.54,AO,1599868871
torbay,47.67,-52.73,53.01,93,90,13.87,CA,1599868871
tukrah,32.53,20.58,73.81,79,0,3.98,LY,1599868872
behshahr,36.69,53.55,70.5,61,0,2.84,IR,1599868872
dasoguz,41.84,59.97,53.6,62,0,6.93,TM,1599868872
thinadhoo,0.53,72.93,82.08,76,98,11.1,MV,1599868873
santa maria del tule,17.03,-96.62,68,72,90,6.93,MX,1599868873
geraldton,-28.77,114.6,50,87,14,4.7,AU,1599868670
poronaysk,49.22,143.12,56.32,62,0,0.6,RU,1599868873
minna,9.61,6.56,75.2,94,20,2.24,NG,1599868874
atar,20.52,-13.05,93.65,34,23,5.08,MR,1599868874
provideniya,64.38,-173.3,46.99,67,92,5.97,RU,1599868874
amderma,,,,,,,,
aksarka,66.56,67.8,53.24,81,99,14.94,RU,1599868875
lompoc,34.64,-120.46,66.99,77,1,10.29,US,1599868875
muromtsevo,56.37,75.24,48.69,74,98,6.6,RU,1599868875
bowen,-20.02,148.23,71.6,64,90,17.22,AU,1599868875
saint-philippe,-21.36,55.77,68,77,50,3.36,RE,1599868876
arraial do cabo,-22.97,-42.03,72.59,86,7,8.77,BR,1599868876
sinnamary,5.38,-52.95,79.72,80,25,12.41,GF,1599868578
bambanglipuro,-7.95,110.28,77.68,75,77,10.49,ID,1599868876
bodden town,19.28,-81.25,86,84,20,6.93,KY,1599868877
lebu,-37.62,-73.65,47.64,81,9,2.86,CL,1599868597
ponta do sol,32.67,-17.1,73.4,60,40,4.7,PT,1599868877
praia,14.92,-23.51,78.8,88,75,10.29,CV,1599868877
toulepleu,,,,,,,,
bitam,2.08,11.5,68.81,98,100,2.51,GA,1599868878
iztapa,13.93,-90.71,86,74,75,4.7,GT,1599868878
taksimo,56.34,114.88,59.47,85,95,3.44,RU,1599868878
ust-maya,60.42,134.53,52.88,61,99,3.62,RU,1599868879
petropavlovsk-kamchatskiy,53.05,158.65,55.4,82,20,4.47,RU,1599868879
alofi,-19.06,-169.92,80.6,83,40,9.17,NU,1599868879
zaysan,47.47,84.87,45.09,49,0,3.85,KZ,1599868872
ketchikan,55.34,-131.65,62.6,59,1,11.41,US,1599868638
port blair,11.67,92.75,80.08,84,100,17.9,IN,1599868866
karratha,-20.74,116.85,81.79,33,0,14.79,AU,1599868847
yumen,40.28,97.2,49.93,47,0,9.31,CN,1599868880
belmonte,-15.86,-38.88,75.2,69,20,10.29,BR,1599868880
hamilton,39.18,-84.53,70,77,90,9.17,US,1599868881
mount gambier,-37.83,140.77,57.2,93,90,8.05,AU,1599868815
quelimane,-17.88,36.89,66.92,93,0,3.78,MZ,1599868881
sampit,-2.53,112.95,78.28,88,90,2.44,ID,1599868881
sumter,28.71,-82.08,81,97,100,9.48,US,1599868882
coahuayana,18.73,-103.68,80.6,78,75,17.22,MX,1599868612
akdagmadeni,39.66,35.88,61.57,49,3,4.88,TR,1599868882
praxedis guerrero,31.37,-106.02,77,44,75,4.83,MX,1599868882
maryborough,-25.53,152.7,66.99,85,54,7,AU,1599868883
victoria,22.29,114.16,84,78,95,5.99,HK,1599868740
sambava,-14.27,50.17,69.53,83,66,9.91,MG,1599868883
minab,27.15,57.08,84.2,54,20,6.93,IR,1599868883
sibu,2.3,111.82,75.2,94,40,3.36,MY,1599868883
alice town,25.72,-79.3,79.66,89,100,22.37,BS,1599868884
paamiut,61.99,-49.67,38.8,68,0,10.94,GL,1599868884
eskasem,,,,,,,,
saint george,37.1,-113.58,89.01,9,1,5.82,US,1599868595
mocuba,-16.84,36.99,68.43,80,77,2.68,MZ,1599868884
fort saint john,,,,,,,,
jamestown,42.1,-79.24,60.01,77,1,9.17,US,1599868591
ngukurr,,,,,,,,
kazachinskoye,57.7,93.28,41.36,93,2,2.89,RU,1599868885
anito,12.45,125.29,83.32,75,94,4.23,PH,1599868885
manokwari,-0.87,134.08,84.51,64,16,2.44,ID,1599868800
ayorou,14.73,0.92,86.63,47,87,7.54,NE,1599868886
grindavik,63.84,-22.43,46.4,87,40,17.22,IS,1599868886
nantucket,41.28,-70.1,61,72,20,13.87,US,1599868886
santa isabel do rio negro,-0.41,-65.02,79.81,68,61,0.22,BR,1599868886
gelibolu,40.41,26.67,69.96,81,4,17.02,TR,1599868887
alanya,36.54,32,75.2,78,20,4.7,TR,1599868822
portland,45.52,-122.68,66.2,63,90,4.7,US,1599868658
nivala,63.92,24.97,37.99,91,100,8.23,FI,1599868887
guerrero negro,27.98,-114.06,88.61,25,0,13.22,MX,1599868887
mehamn,71.04,27.85,44.51,73,32,4.81,NO,1599868888
lev tolstoy,53.21,39.45,44.6,81,50,4.47,RU,1599868888
celestun,20.87,-90.4,83.43,76,98,10.31,MX,1599868888
turochak,52.26,87.12,34.12,92,2,2.77,RU,1599868889
taoudenni,22.68,-3.98,100.17,15,47,7.56,ML,1599868889
fort-shevchenko,44.51,50.26,68.63,50,0,8.75,KZ,1599868889
mago,53.25,140.18,56.91,56,9,3.13,RU,1599868889
souillac,-20.52,57.52,69.8,88,40,10.29,MU,1599868598
petrolina,-9.4,-40.5,80.6,39,0,6.93,BR,1599868829
mitsamiouli,-11.38,43.28,76.51,71,8,5.46,KM,1599868890
kiruna,67.86,20.23,41,86,100,3.36,SE,1599868887
yairipok,24.67,94.07,70.93,96,100,0.49,IN,1599868890
mabaruma,8.2,-59.78,78.06,87,72,4.05,GY,1599868891
praia da vitoria,38.73,-27.07,71.01,88,75,8.79,PT,1599868891
arauca,7.08,-70.76,76.69,90,61,1.88,CO,1599868891
inhambane,-23.86,35.38,68.52,80,35,8.93,MZ,1599868610
broken hill,-31.95,141.43,68,34,0,14.99,AU,1599868891
east london,-33.02,27.91,66.61,84,97,21.09,ZA,1599868892
uppsala,60,17.75,55.99,76,100,16.11,SE,1599868892
jennings,38.72,-90.26,84.2,54,75,11.41,US,1599868892
port elizabeth,-33.92,25.57,62.6,100,90,18.34,ZA,1599868892
san felipe,10.34,-68.74,74.35,92,82,2.06,VE,1599868893
taunggyi,20.78,97.03,64.69,100,99,2.89,MM,1599868893
khabary,53.63,79.53,46.29,85,33,5.35,RU,1599868894
vallenar,-28.57,-70.76,61.93,61,0,2.68,CL,1599868894
hofn,64.25,-15.21,47.82,87,100,0.27,IS,1599868894
port lincoln,-34.73,135.87,58.08,85,97,11.01,AU,1599868895
narsaq,60.92,-46.05,39.2,38,0,6.93,GL,1599868895
ribeira grande,38.52,-28.7,71.87,78,10,6.8,PT,1599868895
puerto escondido,15.85,-97.07,82.4,65,75,4.65,MX,1599868895
lasa,46.62,10.7,57.2,93,75,2.24,IT,1599868896
kruisfontein,-34,24.73,64,86,91,4,ZA,1599868659
fare,-16.7,-151.02,79.12,71,34,9.75,PF,1599868896
sabha,27.04,14.43,85.77,21,0,11.54,LY,1599868897
ardakan,32.31,54.02,77,22,0,2.24,IR,1599868897
samusu,,,,,,,,
buin,-33.73,-70.75,62.6,45,0,6.93,CL,1599868897
tessalit,20.2,1.01,91.15,26,21,6.15,ML,1599868897
aklavik,68.22,-135.01,44.6,81,75,2.24,CA,1599868898
sumbawa,,,,,,,,
pompeu,-19.22,-44.94,75.33,27,1,8.57,BR,1599868898
merauke,-8.47,140.33,80.6,68,5,12.59,ID,1599868867
singarayakonda,15.25,80.03,80.85,78,100,5.57,IN,1599868899
vestmannaeyjar,63.44,-20.27,48.24,85,75,4.72,IS,1599868899
touros,-5.2,-35.46,75.2,78,40,5.82,BR,1599868776
estelle,29.85,-90.11,84.99,94,75,5.48,US,1599868899
huilong,31.81,121.66,78.01,87,41,1.01,CN,1599868899
raudeberg,61.99,5.14,53.01,87,63,32.44,NO,1599868900
nizhneyansk,,,,,,,,
rawson,-43.3,-65.1,55.08,39,29,17.83,AR,1599868900
mandan,46.83,-100.89,59,87,90,11.41,US,1599868900
padang,-0.95,100.35,77.11,74,99,2.57,ID,1599868900
cibitoke,-2.88,29.25,66.22,58,55,3.15,BI,1599868901
thompson,55.74,-97.86,48.2,93,75,6.93,CA,1599868825
guilin,25.28,110.29,71.6,100,90,2.24,CN,1599868901
ambovombe,-25.17,46.08,68.25,86,0,4.43,MG,1599868901
la ronge,55.1,-105.28,59,82,75,14.99,CA,1599868902
vao,-22.67,167.48,67.87,67,97,17.22,NC,1599868902
safaga,26.73,33.94,87.8,29,0,4.7,EG,1599868902
mokhotlong,-29.29,29.07,46.29,55,38,1.57,LS,1599868902
guanica,17.97,-66.91,77,90,37,4.38,PR,1599868902
san patricio,19.22,-104.7,86,74,75,11.41,MX,1599868903
arica,-18.48,-70.3,60.8,72,2,5.82,CL,1599868665
isangel,-19.55,169.27,77,65,75,9.17,VU,1599868903
mentok,,,,,,,,
vila franca do campo,37.72,-25.43,69.8,83,20,10.29,PT,1599868903
darnah,32.77,22.64,75.33,76,0,12.19,LY,1599868904
sussex,41.18,-74.67,69.8,68,1,8.05,US,1599868812
upernavik,72.79,-56.15,29.98,81,32,8.1,GL,1599868904
te anau,-45.42,167.72,49.87,70,83,8.88,NZ,1599868905
dunedin,-45.87,170.5,50,68,75,8.99,NZ,1599868713
iqaluit,63.75,-68.51,37.4,86,90,3.36,CA,1599868905
samarai,-10.62,150.67,77,70,28,11.36,PG,1599868906
luwuk,-0.95,122.79,80.74,74,43,7.11,ID,1599868906
artigas,-30.4,-56.47,65.55,87,100,14.18,UY,1599868774
lethem,3.38,-59.8,80.98,70,61,3.56,GY,1599868906
saldanha,-33.01,17.94,60.8,72,29,3.36,ZA,1599868906
sitka,57.05,-135.33,57.2,71,75,5.82,US,1599868780
beringovskiy,63.05,179.32,48.72,80,94,18.52,RU,1599868907
ustka,54.58,16.86,56.07,66,47,13.2,PL,1599868907
soloneshnoye,51.65,84.32,35.96,82,0,5.06,RU,1599868907
medicine hat,50.05,-110.67,86,19,5,6.93,CA,1599868908
payo,-3.75,103.64,74.1,88,98,1.05,ID,1599868908
pecos,31.42,-103.49,73.4,49,1,4.7,US,1599868908
evensk,61.95,159.23,49.66,73,100,16.42,RU,1599868908
prato,43.88,11.09,77,53,15,5.82,IT,1599868909
namibe,-15.2,12.15,65.03,88,40,5.95,AO,1599868909
sistranda,63.73,8.83,50,87,75,4.7,NO,1599868909
sao filipe,14.9,-24.5,82.2,72,37,4.92,CV,1599868910
tuatapere,-46.13,167.68,54,63,93,5.99,NZ,1599868910
pierre,44.37,-100.35,60.01,76,90,8.05,US,1599868828
bo,,,,,,,,
kuryk,43.2,51.65,67.66,49,0,7.31,KZ,1599868629
luderitz,-26.65,15.16,65.95,46,0,1.19,NA,1599868676
lakes entrance,-37.88,147.98,63,54,97,1.92,AU,1599868911
saint anthony,45.02,-93.22,57.2,71,90,8.05,US,1599868911
hasaki,35.73,140.83,75.2,94,75,10.29,JP,1599868911
garissa,-0.45,39.64,72.73,78,100,16.26,KE,1599868912
chagda,,,,,,,,
azimur,,,,,,,,
victor harbor,-35.57,138.62,61,89,100,2.89,AU,1599868912
myitkyina,25.38,97.4,74.71,91,94,1.72,MM,1599868912
hay river,60.82,-115.8,46.4,100,90,26.4,CA,1599868913
basco,20.45,121.97,84.72,75,58,8.68,PH,1599868913
amahai,-3.33,128.92,80.71,81,54,5.44,ID,1599868913
laguna,38.42,-121.42,86,26,90,6.93,US,1599868913
kununurra,-15.77,128.73,82.4,78,40,9.17,AU,1599868705
katsuura,35.13,140.3,78.8,88,75,13.87,JP,1599868914
cedral,23.8,-100.73,71.17,66,79,10.07,MX,1599868914
nhulunbuy,-12.23,136.77,80.6,61,62,8.05,AU,1599868914
shakawe,-18.37,21.85,57.7,34,0,5.5,BW,1599868915
palmer,42.16,-72.33,66.2,52,20,5.82,US,1599868915
taburi,,,,,,,,
polunochnoye,60.87,60.42,45.5,99,100,3.76,RU,1599868915
grajau,-5.82,-46.14,85.68,37,70,1.99,BR,1599868915
sao gabriel da cachoeira,-0.13,-67.09,81.09,71,80,1.5,BR,1599868916
montes altos,-5.83,-47.07,78.91,57,32,2.66,BR,1599868730
huarmey,-10.07,-78.15,61.12,81,17,7.18,PE,1599868916
qaqortoq,60.72,-46.03,39.2,38,0,6.93,GL,1599868917
biograd na moru,43.94,15.45,73,68,0,6.93,HR,1599868917
kavieng,-2.57,150.8,84.74,68,5,8.1,PG,1599868917
walvis bay,-22.96,14.51,55.99,93,0,9.17,NA,1599868663
constitucion,-35.33,-72.42,48.83,80,0,14.43,CL,1599868917
nanortalik,60.14,-45.24,38.7,74,0,14.43,GL,1599868918
hounde,11.5,-3.52,73.67,88,100,1.72,BF,1599868830
qostanay,53.17,63.58,44.6,56,50,4.47,KZ,1599868859
ipixuna,-1.76,-48.8,77,94,40,4.7,BR,1599868918
esperance,-33.87,121.9,50,100,36,6.93,AU,1599868918
sangmelima,2.93,11.98,67.93,98,100,3.85,CM,1599868919
kamenskoye,,,,,,,,
thanh hoa,19.8,105.77,81.18,87,100,2.37,VN,1599868919
balabac,7.99,117.06,82.71,76,100,0.54,PH,1599868919
roald,62.58,6.13,54,81,57,18.34,NO,1599868920
wairoa,-39.03,177.37,52,62,88,11.01,NZ,1599868920
inverell,-29.78,151.12,64.99,56,0,8.01,AU,1599868920
zyryanka,65.75,150.85,54.54,52,0,1.59,RU,1599868921
lata,40.16,-8.33,66,67,68,2.28,PT,1599868921
svetlogorsk,52.63,29.73,47.3,74,1,4.59,BY,1599868921
staryy nadym,65.61,72.68,53.31,77,49,16.02,RU,1599868921
porto velho,-8.76,-63.9,78.8,83,20,2.55,BR,1599868760
cabo san lucas,22.89,-109.91,86,70,75,11.41,MX,1599868918
torit,4.41,32.57,69.62,87,71,2.44,SS,1599868922
guerande,47.33,-2.43,54,93,0,10.47,FR,1599868924
nehe,48.48,124.83,57.02,75,0,6.08,CN,1599868924
ola,59.58,151.28,53.71,55,15,8.59,RU,1599868925
bergen,60.39,5.33,55.4,77,75,16.11,NO,1599868926
cherskiy,68.75,161.3,49.5,61,79,2.08,RU,1599868926
diapaga,12.07,1.79,72.97,91,72,4.18,BF,1599868927
ishigaki,24.34,124.16,84.2,94,75,6.93,JP,1599868927
havre-saint-pierre,50.23,-63.6,46.4,93,75,8.05,CA,1599868927
dicabisagan,17.08,122.42,84.56,71,100,2.24,PH,1599868928
sao francisco,-15.95,-44.86,74.8,25,0,6.8,BR,1599868928
bambous virieux,-20.34,57.76,69.8,88,40,10.29,MU,1599868928
port shepstone,-30.74,30.45,66.49,86,89,7.92,ZA,1599868928
kati,12.74,-8.07,77,88,20,5.82,ML,1599868928
georgetown,5.41,100.34,77,94,20,3.04,MY,1599868701
caucaia,-3.74,-38.65,80.6,78,40,9.17,BR,1599868860
almazar,40.32,69.01,64.4,39,0,8.95,UZ,1599868930
lazaro cardenas,17.96,-102.2,83.59,80,91,4.5,MX,1599868692
ilulissat,69.22,-51.1,30.2,36,0,9.17,GL,1599868930
kingston,18,-76.79,86,74,20,8.05,JM,1599868788
rungata,,,,,,,,
kamennogorsk,60.95,29.13,45,93,82,2.24,RU,1599868931
komarikhinskiy,58.1,57.12,50,100,75,8.95,RU,1599868931
puerto leguizamo,-0.19,-74.78,74.17,94,62,1.92,CO,1599868931
hanchuan,30.65,113.77,73.4,83,95,4.47,CN,1599868931
makakilo city,21.35,-158.09,91.4,43,1,9.17,US,1599868883
annau,37.89,58.52,68,45,0,4.54,TM,1599868932
aloleng,16.13,119.78,85.05,72,96,4.63,PH,1599868932
sinkat,,,,,,,,
fairbanks,64.84,-147.72,46.4,75,90,9.17,US,1599868812
honiara,-9.43,159.95,89.6,62,20,10.29,SB,1599868932
kandrian,-6.22,149.55,81.59,78,38,13.22,PG,1599868933
markova,48.68,24.41,55.11,86,13,1.95,UA,1599868933
pathanamthitta,9.27,76.78,72.82,93,95,1.61,IN,1599868933
kieta,-6.22,155.63,85.5,63,4,4.52,PG,1599868830
ituiutaba,-18.97,-49.47,79.05,19,0,5.77,BR,1599868918
yenangyaung,20.47,94.88,78.24,90,100,10.98,MM,1599868934
saldus,56.66,22.49,47.57,92,85,7.4,LV,1599868934
abaza,52.66,90.09,33.96,90,47,3.11,RU,1599868934
villa carlos paz,-31.42,-64.5,60.01,21,18,6.93,AR,1599868934
yichun,47.7,128.9,55.53,63,0,3.96,CN,1599868935
rocha,-34.48,-54.33,51.76,69,94,13.04,UY,1599868935
khani,41.96,42.96,68,94,16,2.24,GE,1599868935
cap malheureux,-19.98,57.61,69.01,81,36,3,MU,1599868935
ambilobe,-13.2,49.05,69.06,80,22,2.91,MG,1599868935
kelowna,49.88,-119.49,86,23,1,2.24,CA,1599868822
comodoro rivadavia,-45.87,-67.5,59,30,23,31.09,AR,1599868730
mys shmidta,,,,,,,,
muroto,33.28,134.15,78.8,88,75,2.24,JP,1599868937
le port,-20.94,55.29,69.8,73,40,13.87,RE,1599868815
morant bay,17.88,-76.41,86,74,20,8.05,JM,1599868937
megion,61.03,76.11,46.4,81,3,4.47,RU,1599868938
buraydah,26.33,43.98,82.4,24,0,2.24,SA,1599868938
christchurch,-43.53,172.63,53.01,52,0,9.17,NZ,1599868935
matamoros,25.53,-103.25,86,42,75,5.82,MX,1599868938
lagoa,39.05,-27.98,71.56,77,51,7.54,PT,1599868677
severo-kurilsk,50.68,156.12,50.34,87,84,18.88,RU,1599868939
umtata,-31.59,28.78,59,82,77,6.93,ZA,1599868939
bongor,10.28,15.37,72.95,90,97,4.38,TD,1599868939
kargil,34.57,76.1,47.75,56,0,5.88,IN,1599868939
mosquera,4.71,-74.23,60.8,77,40,4.7,CO,1599868786
mucurapo,10.67,-61.53,82.99,83,20,4.7,TT,1599868940
tezu,27.92,96.17,75.85,85,98,2.42,IN,1599868940
gurgan,,,,,,,,
harwich,51.94,1.28,57,69,1,5.99,GB,1599868940
pitkyaranta,61.57,31.48,50.2,76,65,7.56,RU,1599868940
bathsheba,13.22,-59.52,82.4,74,20,5.82,BB,1599868941
samfya,-11.36,29.56,63.39,55,0,9.98,ZM,1599868941
aykhal,66,111.5,44.6,81,90,4.47,RU,1599868941
fort nelson,58.81,-122.7,55.4,50,40,5.82,CA,1599868688
ostrovnoy,68.05,39.51,44.46,79,14,9.57,RU,1599868942
adrar,20.5,-10.07,93.7,27,50,7.34,MR,1599868942
castro,-24.79,-50.01,67.06,72,100,2.98,BR,1599868942
kudahuvadhoo,2.67,72.89,81.77,79,97,13.73,MV,1599868942
sulangan,11.14,123.72,83.84,70,89,3.91,PH,1599868942
sarzana,44.11,9.96,75,60,37,7,IT,1599868944
yongan,39.7,113.69,59.25,70,71,3.71,CN,1599868944
shelburne,44.08,-80.2,59,67,1,3.36,CA,1599868944
general roca,-39.03,-67.58,57.2,35,0,5.82,AR,1599868944
melfi,41,15.65,71.6,78,20,9.17,IT,1599868945
aflu,,,,,,,,
mazyr,52.05,29.25,48.88,70,0,4.43,BY,1599868945
pingliang,35.54,106.69,62.46,66,58,3.53,CN,1599868945
carupano,10.67,-63.26,80.35,83,72,5.39,VE,1599868945
port-gentil,-0.72,8.78,75.83,85,78,12.21,GA,1599868946
havelock,34.88,-76.9,79,88,75,6.93,US,1599868946
amboise,47.41,0.98,60.8,67,7,4.7,FR,1599868946
wilkie,52.42,-108.7,77,38,1,18.34,CA,1599868946
port hawkesbury,45.62,-61.35,52,76,40,6.93,CA,1599868905
clyde river,70.47,-68.59,35.6,80,20,2.24,CA,1599868947
kermanshah,34.31,47.06,63.88,34,0,3,IR,1599868947
